animeTitle	b'Vampire Hunter D (2000)'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.89
animeUsers	75083
animeRank	
animePopularity	
animeDescription	"b'The story revolves around D, the infamous ""dhampir"" (born of a vampire father and a human mother) outcast and renowned vampire hunter. His prowess at hunting the creatures of the night allowing his acceptance among humans, he is called upon to locate Charlotte Elbourne, the lovely daughter of an affluent family who has been mysteriously kidnapped.\n\nWhen the sun sets, the hunt goes on! Charlotte\'s father offers a rich bounty, be she dead or alive, a task D willingly accepts, even with notorious Markus brothers and their gang of bounty hunters seeking the prize as well. Amidst the chase and unknown to all lurks, a sinister evil which has been secretly manipulating their every move and has set a chilling trap that none will expect and few will survive. With the tables turned and the secrets revealed, the hunters could quickly become the hunted!\n\n(Source: AniDB) '"
animeRelated	[b'Vampire Hunter D']
animeCharacters	[b'D', b'Link, Meier', b'Left Hand', b'Leila', b'Marcus, Grove', b'Benge', b'Carmilla', b'Elbourne, Charlotte', b'Caroline', b'Mashira']
animeVoices	[b'\nTanaka, Hideyuki\nJapanese\n', b'\nYamadera, Kouichi\nJapanese\n', b'\nNagai, Ichiro\nJapanese\n', b'\nHayashibara, Megumi\nJapanese\n', b'\nSeki, Toshihiko\nJapanese\n', b'\nFujiwara, Keiji\nJapanese\n', b'\nMaeda, Bibari\nJapanese\n', b'\nShinohara, Emi\nJapanese\n', b'\nSoumi, Youko\nJapanese\n', b'\nNishi, Rintarou\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMaruyama, Masao\n\nProducer\n\n', b'\nYamamoto, Mataichirou\n\nProducer\n\n', b'\nKawajiri, Yoshiaki\n\nDirector, Storyboard, Screenplay\n\n', b'\nFletcher, Jack\n\nScript, ADR Director\n\n']
