animeTitle	b'Souten no Ken Specials'
animeType	b'Special'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.32
animeUsers	920
animeRank	
animePopularity	
animeDescription	b'Episodes 16, 17, 18 and 21 of the Souten no Ken anime series, which were not originally aired, but released on DVD. Because of this, these episodes are uncut/uncensored. \n\n(Source: Wikipedia)'
animeRelated	[b'Souten no Ken']
animeCharacters	[b'Kasumi, Kenshirou', b'Mang, Kuangyun', b'Zhang, Taiyan', b'de Guise, Charles', b'Pan, Guanglin', b'Pan, Yuling']
animeVoices	[b'\nYamadera, Kouichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nEgami, Kiyoshi\n\nStoryboard\n\n', b'\nBuronson\n\nOriginal Creator\n\n', b'\nHara, Tetsuo\n\nOriginal Character Design\n\n', b'\nSuda, Masami\n\nAnimation Director\n\n']
