animeTitle	Geobreeders 2: Mouryou Yuugekitai File-XX Ransen Toppa
animeType	OVA
animeNumEpisode	4
releaseDate	2000-07-26 00:00:00
endDate	2001-03-23 00:00:00
animeNumMembers	1600
animeScore	6.31
animeUsers	618
animeRank	7139
animePopularity	10023
animeDescription	"Taba and the Girls of Kagura Total Security Inc. are at it again. This time they have to battle a Gang of Phantom Cats and a mysterious enemy and assassin. And there are the run ins with the Government, the need for a new office, as well as sorting out the past to deal with. Luckily, they've got a stock pile of weapons and super technology to help.

(Source: ANN)"
animeRelated	['Geobreeders', 'Geobreeders: File-X Chibi Neko Dakkan']
animeCharacters	['Maya', 'Umezaki, Maki', 'Himehagi, Yuu', 'Taba, Youichi', 'Sakuragi, Takami', 'Randou, Eiko', 'Kikushima, Yuka', 'Yajima, Hirokuni', 'Irie, Shouzou', 'Narusawa, Ayumi']
animeVoices	['Iizuka, Mayumi', 'Hisakawa, Aya', 'Hidaka, Narumi', 'Miki, Shinichiro', 'Yajima, Akiko', 'Imai, Yuka', 'Koorogi, Satomi', 'Ootsuka, Akio', 'Nagasawa, Miki']
animeStaff	[['Misawa, Shin', 'Director, Storyboard'], ['Kuroda, Yousuke', 'Script'], ['Moriyama, Yuuji', 'Script, Character Design, Animation Director'], ['Nakagawa, Koutarou', 'Music']]
