animeTitle	b'Kara no Kyoukai 4: Garan no Dou'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.87
animeUsers	113745
animeRank	
animePopularity	
animeDescription	"b'Following the events of Satsujin Kousatsu (Zen), Shiki Ryougi has been in a coma for two years due to a traffic accident. When she finally awakens, she has no memories of her past and is plagued by a profound loneliness. Even stranger, she notices dark lines encompassing the things around her, and if she touches them she can disassemble the object\xe2\x80\x94something which completely terrifies her. Her friend, Mikiya Kokutou, enlists the help of Touko Aozaki, a mage who can help Shiki understand what her eyes\xe2\x80\x94the ""Mystic Eyes of Death Perception""\xe2\x80\x94are truly capable of and how to use them properly.  \n\n[Written by MAL Rewrite]'"
animeRelated	[b'Kara no Kyoukai: The Garden of Sinners', b'Kara no Kyoukai 3: Tsuukaku Zanryuu', b'Kara no Kyoukai 5: Mujun Rasen', b'Kara no Kyoukai Remix: Gate of Seventh Heaven', b'Kara no Kyoukai: Manner Movies']
animeCharacters	[b'Ryougi, Shiki', b'Aozaki, Touko', b'Kokutou, Mikiya', b'Asagami, Fujino', b'Araya, Souren', b'Shirazumi, Lio', b'Fujou, Kirie']
animeVoices	[b'\nSakamoto, Maaya\nJapanese\n', b'\nHonda, Takako\nJapanese\n', b'\nSuzumura, Kenichi\nJapanese\n', b'\nNoto, Mamiko\nJapanese\n', b'\nNakata, Jouji\nJapanese\n', b'\nHoshi, Souichirou\nJapanese\n', b'\nTanaka, Rie\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIwakami, Atsuhiro\n\nProducer\n\n', b'\nKondou, Hikaru\n\nProducer\n\n', b'\nTakiguchi, Teiichi\n\nDirector, Animation Director, Character Design\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n']
