animeTitle	Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (TV)
animeType	TV
animeNumEpisode	37
releaseDate	2017-04-15 00:00:00
endDate	2017-12-23 00:00:00
animeNumMembers	902
animeScore	6.21
animeUsers	121
animeRank	7637
animePopularity	11413
animeDescription	"A little bit in the future, the government has established a brand new organization with the purpose of rescuing lives to respond to the increasingly complicated and varied types of disasters, accidents and crimes that go beyond human comprehension. It is called the ""Mobile Emergency Police DRIVE HEAD"" force combining specialized police, firefighting and rescue skills. ""DRIVE HEAD"" is an advanced mobile device that transforms in form factor from car to humanoid walker vehicle. The drivers are high-aptitude, grade school students such as Go Kurumada who collaborate with mobile emergency police adults and rush to crisis situations to secure public safety and preserve the peace for all!

(Source: TBS Global Business)"
animeRelated	['Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (ONA)', 'Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu Movie', 'Tomica Hyper Series: Next Stage']
animeCharacters	['Ishino, Mikoto', 'Ishino, Jin', 'Yagura, Taiga', 'Kurumada, Gou', 'Yusuke', 'Saionji, Takahito', 'Isurugi, Hayato', 'Shinmon, Megumi', 'Izawa, Toshimichi', 'Kurumada, Jou']
animeVoices	['Misawa, Sachika', 'Shindou, Kei', 'Kokuryu, Sachi', 'Fujiwara, Natsumi', 'Matsuda, Kenichirou', 'Majima, Junji', 'Koshimizu, Ami', 'Kanemitsu, Nobuaki', 'Hamada, Kenji']
animeStaff	[['Kato, Takao', 'Director'], ['Umemoto, Yui', 'Episode Director, Storyboard'], ['Araki, Kenichi', 'Script, Series Composition'], ['SUPER★DRAGON', 'Theme Song Performance']]
