animeTitle	Wooser no Sono Higurashi
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.21
animeUsers	4922
animeRank	
animePopularity	5096
animeDescription	"Lovely, but with a dark heart. The hand-to-mouth life of a strange yellow and black creature named ""Wooser"". Lovely but with a dark heart, the new hero (?) from the depths of the internet is appearing on TV and Nico Nico Video! ""My favorite things are meat and money and girls,"" he says, but what are his cute, round eyes staring at? (* Probably meat, money, or girls) The strange hand-to-mouth life of this strange creature is now being animated by Sanzigen, famous for their 3D CG animations! Do note that the dot in the middle is supposedly a mouth, not a nose.

(Source: Crunchyroll)"
animeRelated	['Wooser no Sono Higurashi: Ken to Pants to Wooser to']
animeCharacters	['Wooser', 'Len', 'Rin', 'Darth Wooser', 'Yuu', 'Miho']
animeVoices	['Miyano, Mamoru', 'Nagamune, Haruka', 'Ozawa, Minori', 'Tia', 'Sato, Yuri']
animeStaff	[['Satomi, Tetsurou', 'Producer'], ['Yamada, Toyonori', 'Director'], ['Koizumi, Kisuke', 'Sound Director'], ['Yamamoto, Sayo', 'Episode Director, Storyboard']]
