animeTitle	b'Nono-chan'
animeType	b'TV'
animeNumEpisode	61
releaseDate	
endDate	
animeNumMembers	
animeScore	6.2
animeUsers	151
animeRank	
animePopularity	
animeDescription	b'Nono-chan is the eldest daughter in the Yamada family and a third-grade elementary school student. Her family consists of her father, Mr Yamada Takashi, her mother, Mrs Yamada Matsuko and her brother, Noboru, a junior high student. Together with her grandmother, the family of five makes up a pleasant Japanese family. Everyone is special and everyday is always filled with joy and surprise.\n\n(Source: ANN)'
animeRelated	[b'Tonari no Yamada-kun', b'Nono-chan Theater']
animeCharacters	[b'Yamada, Takashi', b'Yamada, Noboru', b'Yamano, Shige', b'Yamada, Matsuko', b'Yamada, Nonoko', b'Kubo-kun', b'Teacher', b'Suzuki-kun', b'Kikuchi-kun', b'Mimi-chan']
animeVoices	[b'\nTanaka, Hideyuki\nJapanese\n', b'\nTakato, Yasuhiro\nJapanese\n', b'\nSuzuki, Reiko\nJapanese\n', b'\nYamamoto, Keiko\nJapanese\n', b'\nOotani, Ikue\nJapanese\n', b'\nTakagi, Wataru\nJapanese\n', b'\nYamazaki, Wakana\nJapanese\n', b'\nSuzuki, Takuma\nJapanese\n', b'\nNoda, Junko\nJapanese\n', b'\nKomatsu, Yuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSakurada, Hiroyuki\n\nProducer\n\n', b'\nNishizawa, Nobutaka\n\nDirector\n\n', b'\nOotani, Ikue\n\nTheme Song Performance\n\n', b'\nBaillien, Carole\n\nTheme Song Performance\n\n']
