animeTitle	Elf-ban Kakyuusei: Anata dake wo Mitsumete...
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.19
animeUsers	1094
animeRank	
animePopularity	8299
animeDescription	"High school students Mizuho Yuuki and Miko Kamiyama are best friends. Miko likes fellow classmate Tohru Nagase. Mizuho is determined not to get in the way of their budding relationship. But underclassmate Ai Minamizato also likes Tohru. Tohru must decide which girl he likes the most. 

(Source: ANN)"
animeRelated	['Kakyuusei 2: Hitomi no Naka no Shoujo-tachi', 'Kakyuusei 2: Anthology', 'Kakyuusei (TV)', 'Kakyuusei']
animeCharacters	['Kamiyama, Miko', 'Yuuki, Mizuho', 'Minamizato, Ai']
animeVoices	['Hoshikawa, Mai', 'Sayama, Riko', 'Sango, Minako']
animeStaff	[['Oomiya, Saburou', 'Producer'], ['ELF Corporation', 'Original Creator'], ['Sekiguchi, Masahiro', 'Key Animation'], ['Azuhata, Takashi', 'Director of Photography']]
