animeTitle	Angelique: Seichi yori Ai wo Komete
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.18
animeUsers	756
animeRank	
animePopularity	8725
animeDescription	The queen is collecting some jewels that apparently endanger the whole universe if they fall into the wrong hands. But Zephel screws up and loses one of the jewels. What should he do now?
animeRelated	['Angelique: Shiroi Tsubasa no Memoire']
animeCharacters	['Zephel', 'de Catargena, Rosalia', 'Macnicole', 'Limoges, Angelique', 'Clavis', 'Olivie', 'Oscar', 'Julious', 'Randy', 'Luva']
animeVoices	['Iwata, Mitsuo', 'Mitsuishi, Kotono', 'Fujiwara, Keiji', 'Shiratori, Yuri', 'Tanaka, Hideyuki', 'Koyasu, Takehito', 'Horiuchi, Kenyuu', 'Hayami, Show', 'Canna, Nobutoshi', 'Seki, Toshihiko']
animeStaff	[['Itou, Masumi', 'Music'], ['Hayashi, Akemi', 'Character Design'], ['Yura, Kairi', 'Original Character Design']]
