animeTitle	b'Tottoi'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.18
animeUsers	233
animeRank	
animePopularity	
animeDescription	b'What a sensation Tottoi felt when he discovered the small creature in the mysterious cave!\nThe beauty and pride of wild animals capture the hearts of innocent people who have not lost their passion for nature.\n\nSardinia is abundant in beautiful beaches and mysterious caves which are known as the habitat of a peculiar kind of seal on the verge of extinction.\n\nAfter moving to this island, Tottoi, fascinated by nature, visits different beaches and caves everyday. When he finds a seal cub and its mother in an isolated cave, he is surprised by the humorous movements and innocence of the cub and the dignity of its mother. Tottoi soon becomes attached to the seals, but his secret is revealed to heartless adults. In the name of preservation, a plan is developed to capture them for an aquarium.\n\nNow the dignity and pride of the wild seal are in danger. No matter how painful for Tottoi to be separated from his small friends, he must fight for the welfare of the wild mammals and let them go free into the sea.\n\n(Source: Official Website)'
animeRelated	[]
animeCharacters	[b'Antonio']
animeVoices	[b'\nNamikawa, Daisuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakanishi, Ryuuzou\n\nScript\n\n', b'\nMikimoto, Haruhiko\n\nCharacter Design\n\n', b'\nFukuda, Kazuya\n\nBackground Art\n\n', b'\nKaneko, Shuuichi\n\nIn-Between Animation\n\n']
