animeTitle	Tiger & Bunny: Too Many Cooks Spoil the Broth.
animeType	Special
animeNumEpisode	1
releaseDate	2015-09-19 00:00:00
endDate	
animeNumMembers	2761
animeScore	6.17
animeUsers	466
animeRank	7818
animePopularity	8600
animeDescription	"The official website for the Tiger & Bunny anime announced on Friday that the Pacifico Yokohama's National Convention Hall of Yokohama is hosting special Tiger & Bunny concerts with a new short anime on September 19 and 20. The franchise's composer Yoshihiro Ike is personally conducting the ""Sternbild Orchestra & Band"" for live performances of music from the television series and two films.

(Source: ANN)"
animeRelated	['Tiger & Bunny']
animeCharacters	['Kaburagi, Kotetsu T.', 'Brooks Jr., Barnaby']
animeVoices	[]
animeStaff	[]
