animeTitle	b'Assault Lily: Fruits'
animeType	b'ONA'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	6.17
animeUsers	228
animeRank	
animePopularity	
animeDescription	b'Mini anime featuring characters from the Assault Lily franchise.'
animeRelated	[b'Assault Lily: Bouquet']
animeCharacters	[b'Hitotsuyanagi, Riri', b'Shirai, Yuyu', b'von Guropius, Miliam Hildegard', b'Nouvel, Kaede Johan', b'Wang, Yujia', b'Kuo, Shenlin', b'Andou, Tazusa', b'Futagawa, Fumi', b'Yoshimura, Thi Mai', b'Mashima, Moyu']
animeVoices	[b'\nAkao, Hikaru\nJapanese\n', b'\nNatsuyoshi, Yuuko\nJapanese\n', b'\nTakahashi, Karin\nJapanese\n', b'\nIzawa, Mikako\nJapanese\n', b'\nToono, Hikaru\nJapanese\n', b'\nHoshimori, Sana\nJapanese\n', b'\nTsumugi, Risa\nJapanese\n', b'\nNishimoto, Rimi\nJapanese\n', b'\nIwata, Haruki\nJapanese\n', b'\nMinase, Inori\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKidani, Takaaki\n\nProducer\n\n', b'\nSaeki, Shouji\n\nDirector\n\n', b'\nKameyama, Toshiki\n\nSound Director\n\n', b'\nMatsuda, Akito\n\nMusic\n\n']
