animeTitle	b'Rerere no Tensai Bakabon'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	6.13
animeUsers	144
animeRank	
animePopularity	
animeDescription	"b""This story contains a lot of humor and edgy jokes that attract an audience ranging from toddlers to adults. Bakabon and his father turn common sense on its head. After all, common sense, that we take for granted, is frequently nonsensical, but comical. Bakabon's father has his own philosophy and he leaves no stone unturned in his quest for answers. Bakabon joins him in his philosophical quests which drive the people in their town crazy. \n\n(Source: pierrot.jp)"""
animeRelated	[b'Tensai Bakabon', b'Osomatsu-kun (1988)', b'Heisei Tensai Bakabon']
animeCharacters	[b'Bakabon no Papa', b'Rerere no Ojisan', b'Bakabon', b'Hajime-chan', b'Bakabon no Mama', b'Unagi-Inu', b'Omawari-san']
animeVoices	[b'\nKamei, Yoshiko\nJapanese\n', b'\nMasuyama, Eiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nDate, Hayato\n\nDirector\n\n', b'\nKameyama, Toshiki\n\nSound Director\n\n', b'\nIkeda, Yuuji\n\nArt Director\n\n', b'\nKubo, Tsuguyuki\n\nCharacter Design\n\n']
