animeTitle	b'Pokemon: Yadoking no Ichinichi'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.11
animeUsers	5514
animeRank	
animePopularity	
animeDescription	"b""It consists of nothing but Pok\xc3\xa9mon-speak--similar to the mini-movies that air with each theatrical movie. It's a short special based on life of the Pok\xc3\xa9mon Slowking.\n\n(Source: Bulbapedia and Graffitti studio) """
animeRelated	[b'Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
