animeTitle	b'Taisei Kensetsu: Bosporus Kaikyou Tunnel'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.11
animeUsers	2688
animeRank	
animePopularity	
animeDescription	b'A 30-second animated commercial for the construction company Taisei. The commercial highlights the Bosporus Strait Tunnel that Taisei built in Turkey.\n\n(Source: ANN)'
animeRelated	[b'Taisei Kensetsu: Shin Doha Kokusai Kuukou', b'Taisei Kensetsu: Sri Lanka Kousokudouro', b'Taisei Kensetsu: Vietnam Noi Bai Kuukou', b'Taisei Kensetsu: Singapore']
animeCharacters	[b'Woman']
animeVoices	[b'\nKurokawa, Mei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShinkai, Makoto\n\nDirector, Background Art\n\n', b'\nKumaki, Anri\n\nTheme Song Lyrics, Theme Song Performance, Theme Song Composition\n\n', b'\nTanji, Takumi\n\nBackground Art\n\n', b'\nTsuchiya, Kenichi\n\nKey Animation, Character Design\n\n']
