animeTitle	b'Hipira-kun'
animeType	b'TV'
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	1292
animeRank	
animePopularity	
animeDescription	"b""In the city of Salta, a place where the sun never shines, a community of vampires lives. Hipira is a little vampire who lives the life of a typical boy, attending school and dealing with bullies along the way. However, he also has a soft spot for exploring, playing pranks on others and having grand adventures! Whether he's befriending a human soul, scaring his neighbours by pretending day has come or encountering giant frogs and aliens, Hipira is always getting himself into and out of trouble."""
animeRelated	[b'Hipira: The Little Vampire', b'Hipira-kun ONA']
animeCharacters	[b'Soul-kun', b'Hipira']
animeVoices	[b'\nOhara, Sayaka\nJapanese\n', b'\nKobayashi, Yumiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKimura, Shinji\n\nDirector, Original Character Design\n\n', b'\nOtomo, Katsuhiro\n\nOriginal Creator\n\n']
