animeTitle	Hakushon Daimaou
animeType	TV
animeNumEpisode	52
releaseDate	1969-10-05 00:00:00
endDate	1970-09-27 00:00:00
animeNumMembers	
animeScore	6.06
animeUsers	662
animeRank	
animePopularity	9866
animeDescription	One day Kan-chan finds a magic bottle in the attic. Whenever someone sneezes, a genie named Hakushon Daimaou is brought out and must grant any wish of whoever sneezed until he or she sneezes again. Sometimes, however, he accidentally fails and only causes trouble instead of granting any wishes.
animeRelated	['Yobarete Tobidete Akubi-chan', 'Ohayou Hakushon Daimaou', 'Pandora to Akubi', 'Hakushon Daimaou 2020']
animeCharacters	['Yodayama, Kanichi', 'Hakushon Daimaou', 'Akubi']
animeVoices	['Katou, Midori', 'Oohira, Tooru', 'Sasuga, Takako']
animeStaff	[['Yoshida, Tatsuo', 'Producer'], ['Yoshida, Kenji', 'Producer'], ['Sasagawa, Hiroshi', 'Director'], ['Itou, Tsunehisa', 'Script']]
