animeTitle	Nisshin Seifun Group CM
animeType	Special
animeNumEpisode	3
releaseDate	2010-03-01 00:00:00
endDate	2015-04-05 00:00:00
animeNumMembers	1615
animeScore	6.0
animeUsers	626
animeRank	8643
animePopularity	10018
animeDescription	Nisshin Seifun Group commissioned 3 commercials for a mascot, Konyara, from Studio Ghibli to promote their company. The first commercial was for their 110th anniversary.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
