animeTitle	Najica Dengeki Sakusen
animeType	TV
animeNumEpisode	12
releaseDate	2001-10-05 00:00:00
endDate	2001-12-27 00:00:00
animeNumMembers	
animeScore	5.99
animeUsers	5696
animeRank	
animePopularity	4700
animeDescription	"Najica Hiiragi, perfumer and secret agent, is sent out on a number of recovery missions to round up rogue humaritts, androids with combat abilities. Najica is assigned a humaritt partner, Lila, whom Najica is to groom as an agent and receive assistance from along the way. As Najica grows to accept Lila, each new mission they embark on reveals more and more about the capabilities and mysterious origins of the humaritts.

(Source: ANN)"
animeRelated	['Najica Dengeki Sakusen']
animeCharacters	['Hiiragi, Najika', 'Lila', 'XXX', 'Majima, Jin', 'Athena', 'Ren, Rinka', 'Daniela', 'Chinatsu, Mika', 'Ellis', 'Fuyuki']
animeVoices	['Touma, Yumi', 'Ihata, Juri', 'Shinohara, Emi', 'Kayumi, Iemasa', 'Neya, Michiko', 'Sakuma, Rei', 'Inoue, Kikuko', 'Kobayashi, Yuko', 'Shiratori, Yuri', 'Kurata, Masayo']
animeStaff	[['Nishijima, Katsuhiko', 'Director'], ['Tsuruoka, Youta', 'Sound Director'], ['Ishiodori, Hiroshi', 'Episode Director'], ['Suzuki, Kaoru', 'Episode Director']]
