animeTitle	b'Futarigurashi'
animeType	b'TV'
animeNumEpisode	36
releaseDate	
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	160
animeRank	
animePopularity	
animeDescription	"b'Futarigurashi follows an aspiring erotic mangaka named Kenji Aoyama. In order to pay rent his friend\'s younger brother, Hikari Satou, offers to become his roommate. However it turns out that ""he"" in almost every way is a girl! The series revolves around Kenji and Hikari getting involved with various women.  '"
animeRelated	[b'Futarigurashi']
animeCharacters	[b'Aoyama, Kenji', b'Saitou, Hikaru', b'Unga, Meguru', b'Unga, Kanae', b'Unga, Akeru', b'Unga, Yona']
animeVoices	[b'\nMatsuno, Taiki\nJapanese\n', b'\nTamura, Yukari\nJapanese\n', b'\nSugimoto, Yuu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOno, Katsuo\n\nMusic\n\n', b'\nKakimoto, Kenjirou\n\nOriginal Creator\n\n']
