animeTitle	Avenger
animeType	TV
animeNumEpisode	13
releaseDate	2003-10-02 00:00:00
endDate	2003-12-25 00:00:00
animeNumMembers	
animeScore	5.89
animeUsers	6045
animeRank	
animePopularity	4368
animeDescription	"Mars has been colonized and is a world where children have been replaced by robot servants known as ""dolls."" Layla is a skilled fighter with a tragic past who travels about the world. Her companions are Nei, a strange and unique doll with some unknown ties to Layla, and Speedy, who is a doll breeder. The founders of Mars see the trio as a threat to their world, and each time they attack Layla and Nei a bit more of their mysterious past and future is revealed."
animeRelated	[]
animeCharacters	['Ashley, Layla', 'Nei', 'Speedy', 'Jupiter', 'Volk', 'Westa', 'Gantz', 'Teo', 'Garcia', 'Cecil']
animeVoices	['Toyoguchi, Megumi', 'Kanai, Mika', 'Oota, Shinichirou', 'Nakata, Kazuhiro', 'Yanaka, Hiroshi', 'Shimamoto, Sumi', 'Suzumura, Kenichi', 'Konishi, Katsuyuki', 'Han, Keiko']
animeStaff	[['Satomi, Tetsurou', 'Producer'], ['Morimoto, Kouji', 'Producer'], ['Mashimo, Kouichi', 'Director, Storyboard'], ['Morioka, Hiroshi', 'Director']]
