animeTitle	Larva Island Season 2
animeType	ONA
animeNumEpisode	13
releaseDate	2019-03-01 00:00:00
endDate	
animeNumMembers	303
animeScore	5.89
animeUsers	129
animeRank	9080
animePopularity	14661
animeDescription	The 2nd season of Larva Island. Chuck's life on the island turns for the worse when the volcano becomes active, a hurricane visits, and of course all the critters getting in his way with their antics. 
animeRelated	['Larva Island']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
