animeTitle	Sagashimono (ONA)
animeType	ONA
animeNumEpisode	1
releaseDate	2019-12-10 00:00:00
endDate	
animeNumMembers	251
animeScore	5.88
animeUsers	103
animeRank	9101
animePopularity	15328
animeDescription	"A story about a  girl who is lost
looking for her identity in the wild.
In the end she finds herself.

Takuji Miyamoto directed and animated this short with music by sooogood!.
Short film created with the idea of ""What do people feel when they visit the rich  and grand nature of Hokkaido?""

This short is currently being played at New Chitose Airport's International Terminal meeting space ""Digital Symbol.""

(Source: YouTube)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
