animeTitle	Youkai Ningen Bem (2006)
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	5.87
animeUsers	839
animeRank	
animePopularity	8669
animeDescription	The plot of the series revolves around three youkai, Bem, Bera and Barro, who arrive at a large coastal city and come across an evil atmosphere, which was brought about by immoral behavior by humans and mischief caused by monsters and youkai. They therefore decide to stay in the city, fighting against other monsters and yōkai which attack humans, making a few friends in the way. Even though the three youkai are often abused by other human beings due to their appearance, they still strive in protecting the human populace of the city from other monsters, one day hoping to become human beings in return for their good actions.
animeRelated	['Youkai Ningen Bem', 'Oretacha Youkai Ningen', 'Bem', 'Bem Movie: Become Human']
animeCharacters	['Belo', 'Bela', 'Bem', 'Hinata, Kira', 'Hinata, Genpaku', 'Jun', 'Child', 'Kaidou, Sora', 'Narrator', 'Hinata, Urara']
animeVoices	['Horanai, Ai', 'Yamagata, Kaori', 'Inoue, Kazuhiko', 'Inamura, Yuuna', 'Iwasaki, Masami', 'Katsu, Anri', 'Kokubun, Yukari', 'Iwanashi, Naoya', 'Suzuki, Mizuho', 'Sonozaki, Mie']
animeStaff	[['Harada, Hiroshi', 'Director, Episode Director, Storyboard, Key Animation'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Kitadani, Hiroshi', 'Theme Song Performance'], ['Takegami, Junki', 'Series Composition']]
