animeTitle	DušaN
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.86
animeUsers	869
animeRank	
animePopularity	10330
animeDescription	"An independent animated music video for the song ""DušaN"" by the Slovakian band Saténové ruky. Kousuke Sugimoto created it for a friend who is in the band.  The video is about the protagonist's soul that just won't stop ""talking"" when he's coked."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
