animeTitle	Kaichuu!
animeType	ONA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.82
animeUsers	4543
animeRank	
animePopularity	5508
animeDescription	"Tachikawa Tetsuya is a freshman at a new high school and he wants to become a great archer, like his late grandfather, Fudou.

One day, a new transfer student joins his class. In a surprise to everyone, it is a cute girl and not a guy like the rumors were saying... The name is Sasaki Gonzaburou, and... ""she""... or maybe ""he""... well, this person has some ""little"" secrets."
animeRelated	['Kaichuu!']
animeCharacters	['Sasaki, Gonzaburou']
animeVoices	['Nakamura, Eriko']
animeStaff	[['Hayashi, Yuuki', 'Original Creator']]
