animeTitle	b'Shin Hurricane Polymar'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.82
animeUsers	654
animeRank	
animePopularity	
animeDescription	b'Remake of old superhero show of the same name.'
animeRelated	[b'Hurricane Polymar']
animeCharacters	[b'Yoroi, Takeshi', b'Kuruma, Joe', b'Nanba, Teru', b'Nina', b'Nova', b'Dr. Orega', b'Nishida, Ryoko', b'Pulsar']
animeVoices	[b'\nOkiayu, Ryoutarou\nJapanese\n', b'\nAono, Takeshi\nJapanese\n', b'\nMiyamura, Yuko\nJapanese\n', b'\nOrikasa, Ai\nJapanese\n', b'\nGenda, Tesshou\nJapanese\n', b'\nOotomo, Ryuuzaburou\nJapanese\n', b'\nNeya, Michiko\nJapanese\n', b'\nKoyasu, Takehito\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShinbou, Akiyuki\n\nDirector\n\n', b'\nTanaka, Hideyuki\n\nSound Director\n\n', b'\nKakinuma, Hideki\n\nScript\n\n', b'\nUmetsu, Yasuomi\n\nStoryboard, Animation Director, Key Animation, Character Design\n\n']
