animeTitle	b'Don Chuck Monogatari'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	5.8
animeUsers	382
animeRank	
animePopularity	
animeDescription	"b""Young beaver Chuck's adventure with his little friends. When thy are in trouble, Chuck often asks his father to help them out.\n\n(Source: ANN)"""
animeRelated	[b'Shin Don Chuck Monogatari']
animeCharacters	[b'Don Chuck', b'Mr. Mee']
animeVoices	[b'\nSawada, Kazuko\nJapanese\n', b'\nKatsuta, Hisashi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakagaki, Kouzou\n\nEpisode Director\n\n', b'\nOosugi, Kumiko\n\nTheme Song Performance\n\n', b'\nTanaka, Eiji\n\nAnimation Director, Character Design\n\n', b'\nKoizumi, Shizuo\n\nOriginal Creator\n\n']
