animeTitle	b'Katarina Nounai Kaigi X'
animeType	b'ONA'
animeNumEpisode	23
releaseDate	
endDate	
animeNumMembers	
animeScore	5.75
animeUsers	222
animeRank	
animePopularity	
animeDescription	"b'Short specials posted on the official twitter account where the ""Katarina Five"" introduces Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X.'"
animeRelated	[b'Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
