animeTitle	b'Boyfriend'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.72
animeUsers	187
animeRank	
animePopularity	
animeDescription	"b""Takatou Masaki is the second youngest of four sons, and seemingly a delinquent by nature. His hot temper has put a wedge between himself and his strict father, gotten him kicked out of one school, and tossed him at a school notoriously horrible for the one thing he's truly good at, basketball. A chance encounter with the willful Yuuki Kanako may serve as a catalyst for change, as the indefinable connection she feels with him draws them together... \n\n(Source: Storm in Heaven)"""
animeRelated	[b'Boyfriend']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
