animeTitle	b'Unkai no Meikyuu Zeguy'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.72
animeUsers	538
animeRank	
animePopularity	
animeDescription	b'Mysterious warriors appear to blast Miki into another dimension! She flees her captors only to find herself trapped in a world of monsters and madmen who plot the downfall of Earth. \nThe only power that can possible save her (and the world) is that of the mysterious Mask of Zeguy. Miki must embark on a life-or-death quest for this talisman, with the villains who kidnapped in hot pursuit! \n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	[b'Miki', b'Hiraga, Gennai', b'Hijikata, Toshizo', b'Himiko', b'Koumei, Shokatsuryou', b'Sayaka', b'Old man', b'da Vinci, Leonardo']
animeVoices	[b'\nYokoyama, Chisa\nJapanese\n', b'\nNagai, Ichiro\nJapanese\n', b'\nYamadera, Kouichi\nJapanese\n', b'\nYamada, Eiko\nJapanese\n', b'\nIkeda, Shuuichi\nJapanese\n', b'\nHidaka, Noriko\nJapanese\n', b'\nSatou, Masaharu\nJapanese\n', b'\nOgata, Kenichi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKageyama, Shigenori\n\nDirector, Script, Screenplay, Original Creator\n\n', b'\nMatsuura, Noriyoshi\n\nSound Director\n\n', b'\nYokoyama, Chisa\n\nTheme Song Performance\n\n', b'\nOoshiro, Tsutomu\n\nKey Animation\n\n']
