animeTitle	Gall Force: New Era
animeType	OVA
animeNumEpisode	2
releaseDate	1991-12-01 00:00:00
endDate	1992-01-26 00:00:00
animeNumMembers	
animeScore	5.71
animeUsers	752
animeRank	
animePopularity	9473
animeDescription	"The year is 2291, and the citizens live a peaceful existence after the catastrophic war between the humans and the Yuman. This quiet life is about to be shattered, the leader of the Yuman is not convinced the war is over, and now plans to renew hostilities! 

(Source: AniDB)"
animeRelated	['Gall Force: Chikyuu Shou']
animeCharacters	['Catty', 'Ruby', 'Crys', 'Pearl', 'Diamond', 'Gorn', 'Nova Universe']
animeVoices	['Watanabe, Naoko', 'Ishioka, Miki', 'Yokoyama, Chisa', 'Shiratori, Yuri', 'Shimamura, Kaoru', 'Satou, Masaharu', 'Sasaki, Nozomu']
animeStaff	[['Akiyama, Katsuhito', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Kakinuma, Hideki', 'Script'], ['Sonoda, Kenichi', 'Character Design, Original Character Design']]
