animeTitle	Guraburu!
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.71
animeUsers	3068
animeRank	
animePopularity	5050
animeDescription	Anime adaptation of Guraburu!, which is 4-koma manga of Granblue Fantasy.
animeRelated	['Guraburu!', 'Granblue Fantasy The Animation']
animeCharacters	['Lyria', 'Vyrn', 'Alize, Katalina', 'Narmaya', 'Rosetta', 'Sandalphon', 'Rackam', 'Cagliostro', 'Euclase, Io', 'Zeta']
animeVoices	['Touyama, Nao', 'Kugimiya, Rie', 'Sawashiro, Miyuki', 'Ichimichi, Mao', 'Tanaka, Rie', 'Suzumura, Kenichi', 'Hirata, Hiroaki', 'Tamura, Yukari', 'Hanazawa, Kana']
animeStaff	[['Morii, Kenshirou', 'Director, Storyboard'], ['Hamano, Takatoshi', 'Sound Director'], ['Kikuhitomoji', 'Storyboard, Series Composition, Original Creator'], ['Kinutani, Soushi', 'Storyboard, Character Design, Chief Animation Director']]
