animeTitle	Random
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.68
animeUsers	109
animeRank	
animePopularity	15739
animeDescription	"Official music video for Handsome Kenya's song Random which was on his 1st full album titled ""Amnesia"" that was released March 5, 2014. A special extended version of the music video was created for the web release on Victor Entertainment's official YouTube channel. In it, Handsome Kenya falls asleep on a weekly manga magazine and dreams that he's stuck inside the volume as he runs between all the different series, art styles, and scenarios.
"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
