animeTitle	b'Haikyuu!!: Lev Genzan!'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.73
animeUsers	59723
animeRank	
animePopularity	
animeDescription	"b""Nekoma High School\xe2\x80\x99s volleyball team recruits a new member: the half-Japanese, half-Russian Lev Haiba. Though the self-proclaimed ace is blessed with great height, he lacks basic volleyball techniques. This gives the team's setter, Kenma Kozume, a hard time when matching up with him.\n\nTo everyone\xe2\x80\x99s surprise, Nekoma\xe2\x80\x99s coach suggests that Lev play in the Kunihira Senior High School\xe2\x80\x99s practice match, leaving Kenma no choice but to cooperate with the tall player. Will Kenma be able to overcome this new challenge?\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Haikyuu!!']
animeCharacters	[b'Kozume, Kenma', b'Haiba, Lev', b'Hinata, Shouyou', b'Kageyama, Tobio', b'Nishinoya, Yuu', b'Tsukishima, Kei', b'Kuroo, Tetsurou', b'Sugawara, Koushi', b'Tanaka, Ryuunosuke', b'Yamaguchi, Tadashi']
animeVoices	[b'\nKaji, Yuki\nJapanese\n', b'\nIshii, Mark\nJapanese\n', b'\nMurase, Ayumu\nJapanese\n', b'\nIshikawa, Kaito\nJapanese\n', b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nUchiyama, Kouki\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nIrino, Miyu\nJapanese\n', b'\nHayashi, Yuu\nJapanese\n', b'\nSaitou, Souma\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMorihiro, Fumi\n\nProducer\n\n', b'\nMitsunaka, Susumu\n\nDirector\n\n', b'\nFurudate, Haruichi\n\nOriginal Creator\n\n', b'\nKishida, Takahiro\n\nCharacter Design\n\n']
