animeTitle	b'Donyatsu Specials'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.63
animeUsers	175
animeRank	
animePopularity	
animeDescription	b'DVD specials of the Donyatsu series.'
animeRelated	[b'Donyatsu']
animeCharacters	[b'Menchihuahua', b'Wedge', b'Robosaki', b'Machan', b'Croken', b'Biggs']
animeVoices	[b'\nFukuyama, Jun\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMankyuu\n\nDirector\n\n', b'\nKozaki, Yuusuke\n\nOriginal Creator\n\n']
